scheme_id,name,description,ministry,department,state,category,beneficiary_type,benefits,eligibility_text,documents_required,application_process,apply_url,official_url,age_min,age_max,gender,caste_categories,income_max,residence,eligible_states,requires_bpl,requires_disability,life_stage_tags,is_active,updated_at
pmmvy-central,Pradhan Mantri Matru Vandana Yojana (PMMVY),"Pregnant Women and Lactating Mothers (PW&LM) aged 19 years and above for first live child. Must belong to BPL, SC/ST, or hold MGNREGA job card.",Ministry of Women and Child Development,Department of Women and Child Development,All,Maternal & Child Health,Pregnant women and lactating mothers,"Financial benefit of Rs 5,000 in two installments directly into bank/post office account for first live child, and Rs 6,000 for second child if girl child.","Pregnant Women and Lactating Mothers (PW&LM) aged 19 years and above for first live child. Must belong to BPL, SC/ST, or hold MGNREGA job card.","Aadhaar Card, Bank Account Details, Mother and Child Protection (MCP) Card, Identity Proof, BPL Ration Card / Income Certificate",Apply online at https://pmmvy.wcd.gov.in/.,https://pmmvy.wcd.gov.in/,https://wcd.gov.in/schemes/pradhan-mantri-matru-vandana-yojana,19,45,Female,"[""All""]",250000,All,"[""All""]",True,False,"[""maternal""]",True,2026-08-28T14:12:15.917770+00:00
ssy-central,Sukanya Samriddhi Yojana (SSY),Girl child who is an Indian resident aged below 10 years. Account opened by parents or legal guardians. Maximum 2 accounts per family.,Ministry of Finance,Department of Economic Affairs,All,Girl Child & Education,Girl child below 10 years of age,"High tax-free interest rate (currently 8.2% p.a.), tax savings under Section 80C, partial withdrawal for higher education at age 18, maturity at 21 years.",Girl child who is an Indian resident aged below 10 years. Account opened by parents or legal guardians. Maximum 2 accounts per family.,"Birth Certificate of Girl Child, Identity & Address Proof of Guardian, Passport size photos",Apply online at https://www.indiapost.gov.in/Financial/Pages/Content/Sukanya-Samriddhi-Account.aspx.,https://www.indiapost.gov.in/Financial/Pages/Content/Sukanya-Samriddhi-Account.aspx,https://nsiindia.gov.in/,0,10,Female,"[""All""]",0,All,"[""All""]",False,False,"[""student""]",True,2026-08-28T14:12:15.917934+00:00
step-central,Support to Training and Employment Programme for Women (STEP),"Women aged 16 years and above looking for skill development and employment, prioritizing marginalized, SC/ST, and rural women.",Ministry of Women and Child Development,Bureau of Women Empowerment,All,Skill Development & Employment,Women aged 16 years and above,"Free skill training in traditional sectors (agriculture, horticulture, handlooms, handicrafts, tailors, IT) and support for wage employment/self-employment.","Women aged 16 years and above looking for skill development and employment, prioritizing marginalized, SC/ST, and rural women.","Aadhaar Card, Age Proof, Educational Certificate (if any), Caste Certificate",Apply online at https://wcd.gov.in/schemes/support-training-and-employment-programme-women-step.,https://wcd.gov.in/schemes/support-training-and-employment-programme-women-step,https://wcd.gov.in/,16,60,Female,"[""All""]",180000,All,"[""All""]",False,False,"[""entrepreneur""]",True,2026-08-28T14:12:15.917949+00:00
standup-india-women,Stand Up India Scheme for Women Entrepreneurs,"SC/ST and/or woman entrepreneur above 18 years of age. Enterprise must be greenfield (first time venture). In non-individual entities, 51% shareholding must be held by woman or SC/ST.",Ministry of Finance,Department of Financial Services,All,Entrepreneurship & Loans,SC/ST and Women entrepreneurs,"Bank loans between Rs 10 Lakh and Rs 1 Crore for setting up a greenfield enterprise in manufacturing, services, or trading sector.","SC/ST and/or woman entrepreneur above 18 years of age. Enterprise must be greenfield (first time venture). In non-individual entities, 51% shareholding must be held by woman or SC/ST.","Aadhaar Card, PAN Card, Project Profile, Bank Statements, Proof of Business Address, Category Certificate",Apply online at https://www.standupmitra.in/.,https://www.standupmitra.in/,https://www.standupmitra.in/,18,70,Female,"[""All""]",0,All,"[""All""]",False,False,"[""entrepreneur""]",True,2026-08-28T14:12:15.917961+00:00
ignwps-pension,Indira Gandhi National Widow Pension Scheme (IGNWPS),Widow aged between 40 and 79 years who belongs to a household below the poverty line (BPL) as per central guidelines.,Ministry of Rural Development,National Social Assistance Programme (NSAP),All,Pension & Social Security,Widows aged 40-79 years belonging to BPL households,"Monthly pension of Rs 300 to Rs 1,000 (with state contribution top-up) directly disbursed to beneficiary bank accounts.",Widow aged between 40 and 79 years who belongs to a household below the poverty line (BPL) as per central guidelines.,"Death Certificate of Husband, BPL Ration Card, Aadhaar Card, Bank Account Details, Age Proof",Apply online at https://nsap.nic.in/.,https://nsap.nic.in/,https://nsap.nic.in/,40,79,Female,"[""All""]",120000,All,"[""All""]",True,False,"[""senior""]",True,2026-08-28T14:12:15.917972+00:00
kanya-sumangala-up,Mukhya Mantri Kanya Sumangala Yojana,"Resident of Uttar Pradesh. Annual family income should not exceed Rs 3,00,000. Maximum two girl children per family.",Government of Uttar Pradesh,Department of Women and Child Development UP,Uttar Pradesh,Girl Child & Education,Girls born in Uttar Pradesh in eligible low-income families,"Total financial grant of Rs 25,000 phased across 6 milestones from birth, vaccination, school admission (class 1, 6, 9) to graduation/diploma.","Resident of Uttar Pradesh. Annual family income should not exceed Rs 3,00,000. Maximum two girl children per family.","Birth Certificate, Residence Certificate of UP, Family Income Certificate, Aadhaar Card of parents, Bank Passbook",Apply online at https://mksy.up.gov.in/.,https://mksy.up.gov.in/,https://mksy.up.gov.in/,0,25,Female,"[""All""]",300000,All,"[""Uttar Pradesh""]",False,False,"[""student""]",True,2026-08-28T14:12:15.917982+00:00
pudhumai-penn-tn,Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme (Pudhumai Penn),Female students residing in Tamil Nadu who studied in Govt schools from Class 6 to 12 and enrolled in higher education degree/diploma courses.,Government of Tamil Nadu,Social Welfare and Women Empowerment Department TN,Tamil Nadu,Higher Education,Female students pursuing higher education who studied in government schools from classes 6 to 12,"Financial assistance of Rs 1,000 per month deposited directly into student bank accounts until completion of undergraduate degree/diploma/ITI course.",Female students residing in Tamil Nadu who studied in Govt schools from Class 6 to 12 and enrolled in higher education degree/diploma courses.,"School Transfer Certificate / Bonafide Certificate (Class 6-12), Aadhaar Card, College Admission Proof, Bank Passbook",Apply online at https://penkalvi.tn.gov.in/.,https://penkalvi.tn.gov.in/,https://penkalvi.tn.gov.in/,17,25,Female,"[""All""]",250000,All,"[""Tamil Nadu""]",False,False,"[""student""]",True,2026-08-28T14:12:15.917992+00:00
kanyashree-wb,Kanyashree Prakalpa,"Unmarried female student in West Bengal aged 13-19, enrolled in recognized institution. Family income limit Rs 1,20,000 (waived for orphans/disabled).",Government of West Bengal,Department of Women & Child Development and Social Welfare WB,West Bengal,Education & Social Empowerment,Unmarried girls aged 13-19 in West Bengal enrolled in school/college,"Annual scholarship K1 (Rs 1,000) for girls aged 13-18 and One-time grant K2 (Rs 25,000) at age 18 if continuing education and unmarried.","Unmarried female student in West Bengal aged 13-19, enrolled in recognized institution. Family income limit Rs 1,20,000 (waived for orphans/disabled).","Age Proof Certificate, Unmarried Declaration, School Bonafide Certificate, Income Certificate, Bank Account Details",Apply online at https://wbkanyashree.gov.in/.,https://wbkanyashree.gov.in/,https://wbkanyashree.gov.in/,13,19,Female,"[""All""]",120000,All,"[""West Bengal""]",False,False,"[""student""]",True,2026-08-28T14:12:15.918003+00:00
ladli-behna-mp,Mukhyamantri Ladli Behna Yojana,"Resident of MP, female aged 21-60 years. Family self-declared annual income less than Rs 2.5 Lakh. Not an income tax payer.",Government of Madhya Pradesh,Department of Women and Child Development MP,Madhya Pradesh,Financial Assistance & Empowerment,"Married, widowed, divorced, or deserted women aged 21 to 60 years in Madhya Pradesh","Direct monthly cash benefit of Rs 1,250 transferred on the 10th of every month into beneficiary bank account.","Resident of MP, female aged 21-60 years. Family self-declared annual income less than Rs 2.5 Lakh. Not an income tax payer.","Samagra ID, Aadhaar Card (DBT linked), Bank Account Details, Self-declaration form",Apply online at https://cmladlibehna.mp.gov.in/.,https://cmladlibehna.mp.gov.in/,https://cmladlibehna.mp.gov.in/,21,60,Female,"[""All""]",250000,All,"[""Madhya Pradesh""]",False,False,"[""general""]",True,2026-08-28T14:12:15.918013+00:00
pm-ujjwala-yojana,Pradhan Mantri Ujjwala Yojana (PMUY 2.0),"Adult woman (18+) belonging to BPL household (SC/ST, PMAY, Antyodaya Anna Yojana, Forest dwellers, Most Backward Classes, or 14-point declaration).",Ministry of Petroleum and Natural Gas,LPG Division,All,Clean Energy & Housing,Adult women from BPL / poor households,"Deposit-free LPG connection, first refill free, free hotplate stove, and Rs 300 subsidy per 14.2 kg cylinder up to 12 refills per year.","Adult woman (18+) belonging to BPL household (SC/ST, PMAY, Antyodaya Anna Yojana, Forest dwellers, Most Backward Classes, or 14-point declaration).","Aadhaar Card of Applicant & Family Members, BPL Card / SECC Data Proof, Bank Account Number & IFSC, Ration Card",Apply online at https://www.pmuy.gov.in/.,https://www.pmuy.gov.in/,https://www.pmuy.gov.in/,18,80,Female,"[""All""]",200000,All,"[""All""]",True,False,"[""general""]",True,2026-08-28T14:12:15.918022+00:00
hf-scheme-001,Post Graduate Indira Gandhi Scholarship for Single Girl Child,"Scholarship of Rs 36,200 per annum for 2 years to support single girl child pursuing PG degree courses in non-professional streams.",University Grants Commission (UGC) / Ministry of Education,Higher Education,All India,Higher Education,Women & Girls,"Rs 3,100 per month (Rs 36,200 p.a.) for 2 years duration of PG course.","Scholarship of Rs 36,200 per annum for 2 years to support single girl child pursuing PG degree courses in non-professional streams.","Proof of Single Girl Child (Affidavit on stamp paper), Aadhaar Card, Graduation Marksheet, PG Admission Verification",Submit application via official portal: https://scholarships.gov.in/,https://scholarships.gov.in/,https://www.ugc.gov.in/,18,30,Female,"[""All""]",500000,All,"[""All""]",False,False,"[""student"", ""single_girl_child"", ""higher_education""]",True,2026-08-28T14:12:15.918186+00:00
hf-scheme-002,Mahila Samman Savings Certificate (MSSC),One-time small savings scheme for women and girls offering guaranteed 7.5% fixed interest per annum for a 2-year tenor.,Department of Posts / Ministry of Finance,Financial Security & Savings,All India,Financial Security & Savings,Women & Girls,7.5% fixed interest rate compounded quarterly. Deposit up to Rs 2 Lakhs. Partial withdrawal up to 40% allowed after 1 year.,One-time small savings scheme for women and girls offering guaranteed 7.5% fixed interest per annum for a 2-year tenor.,"Aadhaar Card, PAN Card, KYC Form, Passport size photo",Submit application via official portal: https://www.indiapost.gov.in/,https://www.indiapost.gov.in/,https://www.indiapost.gov.in/,0,100,Female,"[""All""]",0,All,"[""All""]",False,False,"[""financial_security"", ""savings"", ""all_women""]",True,2026-08-28T14:12:15.918198+00:00
hf-scheme-003,Working Women Hostel Scheme (Sakhi Niwas),"Safe, affordable hostel accommodation with day care facilities for children of working women in urban, semi-urban, and rural areas.",Ministry of Women and Child Development,Safe Housing & Employment Support,All India,Safe Housing & Employment Support,Women & Girls,"Subsidized secure lodging, daycare center (Crèche) for children up to 8 years, mess facilities, and 24/7 security.","Safe, affordable hostel accommodation with day care facilities for children of working women in urban, semi-urban, and rural areas.","Employment Certificate / Salary Slip, Aadhaar Card, Passport photo, Identity Card from Employer",Submit application via official portal: https://wcd.nic.in/schemes/working-women-hostel,https://wcd.nic.in/schemes/working-women-hostel,https://wcd.nic.in/,18,60,Female,"[""All""]",500000,All,"[""All""]",False,False,"[""working_women"", ""housing"", ""entrepreneur"", ""urban""]",True,2026-08-28T14:12:15.918209+00:00
