scheme_id,scheme_name,ministry_name,department_name,state_name,scheme_category,target_beneficiary,scheme_benefits,eligibility_criteria_text,required_documents,application_url,official_website,min_age,max_age,gender_applicable,caste_category,max_income_limit,residence_type,eligible_states_list,is_bpl_required,is_disability_required,life_stage,active_status
pmmvy-central,Pradhan Mantri Matru Vandana Yojana (PMMVY),Ministry of Women and Child Development,Department of Women and Child Development,All,Maternal & Child Health,Pregnant women and lactating mothers,"Financial benefit of Rs 5,000 in two installments directly into bank/post office account for first live child, and Rs 6,000 for second child if girl child.","Pregnant Women and Lactating Mothers (PW&LM) aged 19 years and above for first live child. Must belong to BPL, SC/ST, or hold MGNREGA job card.","Aadhaar Card, Bank Account Details, Mother and Child Protection (MCP) Card, Identity Proof, BPL Ration Card / Income Certificate",https://pmmvy.wcd.gov.in/,https://wcd.gov.in/schemes/pradhan-mantri-matru-vandana-yojana,19,45,Female,All,250000,All,All,True,False,maternal,True
ssy-central,Sukanya Samriddhi Yojana (SSY),Ministry of Finance,Department of Economic Affairs,All,Girl Child & Education,Girl child below 10 years of age,"High tax-free interest rate (currently 8.2% p.a.), tax savings under Section 80C, partial withdrawal for higher education at age 18, maturity at 21 years.",Girl child who is an Indian resident aged below 10 years. Account opened by parents or legal guardians. Maximum 2 accounts per family.,"Birth Certificate of Girl Child, Identity & Address Proof of Guardian, Passport size photos",https://www.indiapost.gov.in/Financial/Pages/Content/Sukanya-Samriddhi-Account.aspx,https://nsiindia.gov.in/,0,10,Female,All,0,All,All,False,False,student,True
step-central,Support to Training and Employment Programme for Women (STEP),Ministry of Women and Child Development,Bureau of Women Empowerment,All,Skill Development & Employment,Women aged 16 years and above,"Free skill training in traditional sectors (agriculture, horticulture, handlooms, handicrafts, tailors, IT) and support for wage employment/self-employment.","Women aged 16 years and above looking for skill development and employment, prioritizing marginalized, SC/ST, and rural women.","Aadhaar Card, Age Proof, Educational Certificate (if any), Caste Certificate",https://wcd.gov.in/schemes/support-training-and-employment-programme-women-step,https://wcd.gov.in/,16,60,Female,All,180000,All,All,False,False,entrepreneur,True
standup-india-women,Stand Up India Scheme for Women Entrepreneurs,Ministry of Finance,Department of Financial Services,All,Entrepreneurship & Loans,SC/ST and Women entrepreneurs,"Bank loans between Rs 10 Lakh and Rs 1 Crore for setting up a greenfield enterprise in manufacturing, services, or trading sector.","SC/ST and/or woman entrepreneur above 18 years of age. Enterprise must be greenfield (first time venture). In non-individual entities, 51% shareholding must be held by woman or SC/ST.","Aadhaar Card, PAN Card, Project Profile, Bank Statements, Proof of Business Address, Category Certificate",https://www.standupmitra.in/,https://www.standupmitra.in/,18,70,Female,All,0,All,All,False,False,entrepreneur,True
ignwps-pension,Indira Gandhi National Widow Pension Scheme (IGNWPS),Ministry of Rural Development,National Social Assistance Programme (NSAP),All,Pension & Social Security,Widows aged 40-79 years belonging to BPL households,"Monthly pension of Rs 300 to Rs 1,000 (with state contribution top-up) directly disbursed to beneficiary bank accounts.",Widow aged between 40 and 79 years who belongs to a household below the poverty line (BPL) as per central guidelines.,"Death Certificate of Husband, BPL Ration Card, Aadhaar Card, Bank Account Details, Age Proof",https://nsap.nic.in/,https://nsap.nic.in/,40,79,Female,All,120000,All,All,True,False,senior,True
kanya-sumangala-up,Mukhya Mantri Kanya Sumangala Yojana,Government of Uttar Pradesh,Department of Women and Child Development UP,Uttar Pradesh,Girl Child & Education,Girls born in Uttar Pradesh in eligible low-income families,"Total financial grant of Rs 25,000 phased across 6 milestones from birth, vaccination, school admission (class 1, 6, 9) to graduation/diploma.","Resident of Uttar Pradesh. Annual family income should not exceed Rs 3,00,000. Maximum two girl children per family.","Birth Certificate, Residence Certificate of UP, Family Income Certificate, Aadhaar Card of parents, Bank Passbook",https://mksy.up.gov.in/,https://mksy.up.gov.in/,0,25,Female,All,300000,All,Uttar Pradesh,False,False,student,True
pudhumai-penn-tn,Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme (Pudhumai Penn),Government of Tamil Nadu,Social Welfare and Women Empowerment Department TN,Tamil Nadu,Higher Education,Female students pursuing higher education who studied in government schools from classes 6 to 12,"Financial assistance of Rs 1,000 per month deposited directly into student bank accounts until completion of undergraduate degree/diploma/ITI course.",Female students residing in Tamil Nadu who studied in Govt schools from Class 6 to 12 and enrolled in higher education degree/diploma courses.,"School Transfer Certificate / Bonafide Certificate (Class 6-12), Aadhaar Card, College Admission Proof, Bank Passbook",https://penkalvi.tn.gov.in/,https://penkalvi.tn.gov.in/,17,25,Female,All,250000,All,Tamil Nadu,False,False,student,True
kanyashree-wb,Kanyashree Prakalpa,Government of West Bengal,Department of Women & Child Development and Social Welfare WB,West Bengal,Education & Social Empowerment,Unmarried girls aged 13-19 in West Bengal enrolled in school/college,"Annual scholarship K1 (Rs 1,000) for girls aged 13-18 and One-time grant K2 (Rs 25,000) at age 18 if continuing education and unmarried.","Unmarried female student in West Bengal aged 13-19, enrolled in recognized institution. Family income limit Rs 1,20,000 (waived for orphans/disabled).","Age Proof Certificate, Unmarried Declaration, School Bonafide Certificate, Income Certificate, Bank Account Details",https://wbkanyashree.gov.in/,https://wbkanyashree.gov.in/,13,19,Female,All,120000,All,West Bengal,False,False,student,True
ladli-behna-mp,Mukhyamantri Ladli Behna Yojana,Government of Madhya Pradesh,Department of Women and Child Development MP,Madhya Pradesh,Financial Assistance & Empowerment,"Married, widowed, divorced, or deserted women aged 21 to 60 years in Madhya Pradesh","Direct monthly cash benefit of Rs 1,250 transferred on the 10th of every month into beneficiary bank account.","Resident of MP, female aged 21-60 years. Family self-declared annual income less than Rs 2.5 Lakh. Not an income tax payer.","Samagra ID, Aadhaar Card (DBT linked), Bank Account Details, Self-declaration form",https://cmladlibehna.mp.gov.in/,https://cmladlibehna.mp.gov.in/,21,60,Female,All,250000,All,Madhya Pradesh,False,False,general,True
pm-ujjwala-yojana,Pradhan Mantri Ujjwala Yojana (PMUY 2.0),Ministry of Petroleum and Natural Gas,LPG Division,All,Clean Energy & Housing,Adult women from BPL / poor households,"Deposit-free LPG connection, first refill free, free hotplate stove, and Rs 300 subsidy per 14.2 kg cylinder up to 12 refills per year.","Adult woman (18+) belonging to BPL household (SC/ST, PMAY, Antyodaya Anna Yojana, Forest dwellers, Most Backward Classes, or 14-point declaration).","Aadhaar Card of Applicant & Family Members, BPL Card / SECC Data Proof, Bank Account Number & IFSC, Ration Card",https://www.pmuy.gov.in/,https://www.pmuy.gov.in/,18,80,Female,All,200000,All,All,True,False,general,True
